cluster,mobile,non-mobile,not known,Gene,Human,Poultry,Dog,Stored water,Household soil,Human.pct,Poultry.pct,Dog.pct,Stored water.pct,Household soil.pct,V2,total
Cluster 17122,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,msbA,1
Cluster 17123,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtB,1
Cluster 17124,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtC,1
Cluster 17125,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 17126,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,YojI,1
Cluster 17127,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,PmrF,1
Cluster 17128,0,0,3,,0,1,0,0,0,0,0.900900900900901,0,0,0,ugd,3
Cluster 17129,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,acrB,1
Cluster 1713,1,0,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 17130,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,emrB,1
Cluster 17131,0,1,0,,0,0,0,0,1,0,0,0,0,2.63157894736842,kdpE,1
Cluster 17132,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,baeS,1
Cluster 17133,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,emrB,1
Cluster 17134,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtG,1
Cluster 17135,0,1,0,,0,0,0,0,1,0,0,0,0,2.63157894736842,AcrS,1
Cluster 17136,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,ArnT,1
Cluster 17137,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,acrB,1
Cluster 17138,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,Ecol_acrA,1
Cluster 17139,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,mdtC,1
Cluster 1714,1,0,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 17140,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,mdtC,1
Cluster 17141,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,eptA,1
Cluster 17142,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,mdtA,1
Cluster 17143,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,mdtB,1
