i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_STEC299.fa.gz	47757	47734	58480	0.838	245.587	200.801	0.812	0.838	0.891	78.5	63.757	0.425	0.477
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1090_straingst	1809030362	65493806	61899	258.848	88.569									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_ATCC_8739.fa.gz	46447	46378	61899	0.928	342.814	314.43	0.921	0.928	0.942	88.569	81.577	0.694	0.737
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1092_straingst	2038225355	77484841	99802	179.039	87.667									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_NCTC9087.fa.gz	45206	45146	99802	0.958	341.879	324.639	0.828	0.958	0.925	58.091	72.553	0.673	0.728
1	Esch_coli_UPEC-774U_190308.fa.gz	49071	24511	56547	0.951	39.407	36.995	0.298	0.951	0.575	8.284	4.508	0.148	0.257
2	Esch_coli_P15-385.fa.gz	47999	11250	33229	0.655	58.438	35.776	0.199	0.655	0.964	21.291	2.113	0.054	0.056
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1093_straingst	1781703382	75944266	96908	162.56	88.417									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_Z0117EC0056.fa.gz	50477	50359	96908	0.954	261.666	246.059	0.798	0.954	0.791	56.898	70.576	0.548	0.694
1	Esch_coli_G6_7.fa.gz	50857	23536	48852	0.862	79.142	64.283	0.505	0.862	0.442	16.932	9.012	0.143	0.324
2	Esch_coli_600468.fa.gz	47174	9950	28563	0.577	76.964	43.404	0.281	0.577	0.909	14.587	2.482	0.049	0.054
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1098_straingst	1115088961	65961743	109157	81.665	79.943									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_NCTC9087.fa.gz	45206	45136	109157	0.968	145.305	139.364	0.712	0.968	0.869	13.36	56.908	0.56	0.645
1	Esch_coli_U1.fa.gz	51721	25079	65485	0.922	55.489	49.472	0.5	0.922	0.818	23.06	11.506	0.32	0.391
2	Esch_coli_WP8-S18-ESBL-07.fa.gz	47916	11147	42363	0.874	13.305	11.255	0.101	0.874	0.5	3.502	1.162	0.034	0.067
3	Esch_coli_G6_7.fa.gz	50857	7127	32623	0.41	117.254	41.888	0.296	0.41	1.034	40.021	3.069	0.02	0.02
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1099_straingst	1970934711	73980946	116469	155.426	91.846									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_NCTC11023.fa.gz	45959	45879	116469	0.941	371.919	345.456	0.887	0.941	0.926	86.508	81.463	0.684	0.739
1	Esch_coli_CFSAN061768.fa.gz	48567	21697	73299	0.881	33.625	28.911	0.314	0.881	0.473	3.758	3.26	0.101	0.214
2	Esch_fergusonii_RHB19-C05.fa.gz	45359	33472	54193	0.872	10.971	9.547	0.228	0.872	0.745	1.58	1.625	0.113	0.151
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1103_straingst	1162187438	65082870	93032	113.165	90.588									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_G4_9.fa.gz	45836	45758	93032	0.98	215.082	208.805	0.916	0.98	0.762	85.632	82.982	0.657	0.862
1	Esch_fergusonii_EF91.fa.gz	43657	33686	48193	0.799	12.181	9.716	0.371	0.8	0.925	4.956	2.823	0.175	0.19
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1104_straingst	1698248295	86915059	81167	193.876	92.662									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_Nissle_1917.fa.gz	49570	49524	81167	0.953	294.186	276.376	0.882	0.953	0.934	37.742	81.722	0.712	0.762
1	Esch_coli_EcPF14.fa.gz	50028	4908	33991	0.466	260.434	115.597	0.32	0.466	0.931	54.92	3.504	0.03	0.032
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1108_straingst	1080917859	52043130	83888	117.235	90.984									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_LH09-a.fa.gz	45993	45929	83888	0.951	196.429	185.283	0.872	0.951	0.827	57.12	79.383	0.621	0.751
1	Esch_coli_EcPF16.fa.gz	45542	13297	40205	0.874	58.204	48.721	0.54	0.874	0.379	20.33	6.261	0.137	0.361
2	Esch_coli_LD27-1.fa.gz	45656	6750	28578	0.552	27.196	14.144	0.176	0.552	0.799	13.533	0.938	0.024	0.03
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1109_straingst	1255475682	79715310	103332	90.104	74.16									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_WP8-S18-ESBL-07.fa.gz	47916	47842	103332	0.957	142.721	134.208	0.702	0.957	0.619	36.446	52.065	0.381	0.616
1	Esch_coli_2011C-3911.fa.gz	47705	20930	57532	0.884	72.777	62.837	0.485	0.884	0.778	21.241	10.722	0.26	0.335
2	Esch_coli_88-3493.fa.gz	48886	12136	39035	0.476	49.015	22.925	0.198	0.476	0.857	16.472	2.253	0.018	0.021
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1111_straingst	1150405014	58881159	93690	108.739	88.558									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_EcPF20.fa.gz	47166	47095	93690	0.953	162.152	152.265	0.714	0.953	0.786	32.429	63.234	0.485	0.617
1	Esch_coli_SaT040.fa.gz	49932	26239	48828	0.941	74.112	69.027	0.628	0.941	0.806	15.658	15.899	0.421	0.522
2	Esch_coli_ST540_GCF_000599625.1.fa.gz	46341	10158	24149	0.555	58.184	31.036	0.302	0.555	4.299	40.471	2.851	0.012	0.052
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1119_straingst	1359547747	67114062	71530	152.058	80.003									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_G6_7.fa.gz	50857	50802	71530	0.935	201.921	181.981	0.882	0.935	0.519	58.445	70.578	0.375	0.722
1	Esch_coli_ML35.fa.gz	47425	7354	24009	0.625	88.617	52.189	0.318	0.625	0.116	21.557	2.994	0.009	0.077
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1120_straingst	1523839400	80454170	78900	152.898	79.166									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_CIT.fa.gz	45466	45394	78900	0.969	230.387	220.363	0.84	0.969	0.62	15.721	66.479	0.473	0.763
1	Esch_coli_ST540_GCF_000599625.1.fa.gz	46341	10057	34929	0.632	155.982	95.974	0.513	0.632	0.739	27.769	6.509	0.096	0.13
2	Esch_coli_EA7.fa.gz	44692	5496	28570	0.616	67.733	39.976	0.244	0.616	0.551	21.753	1.505	0.031	0.057
3	Esch_coli_Res13-Lact-EB12-05.fa.gz	46223	3572	25184	0.554	63.479	34.429	0.176	0.554	0.49	13.923	0.824	0.015	0.03
sample	totalkmers	distinct	pkmers	pkcov	pan%									
C1004_straingst	3259961835	119140580	73400	371.848	83.724									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_VR50.fa.gz	48478	48402	73400	0.975	539.661	517.953	0.933	0.975	0.82	83.724	78.126	0.709	0.865
sample	totalkmers	distinct	pkmers	pkcov	pan%									
C1005_straingst	1648896445	67373486	66186	133.322	53.515									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_WP7-S17-ESBL-04.fa.gz	45767	45701	66186	0.951	170.565	158.769	0.84	0.951	0.892	16.528	44.942	0.644	0.722
1	Esch_coli_EC2.fa.gz	49867	9515	22739	0.725	65.319	44.753	0.319	0.725	0.512	36.986	2.733	0.062	0.121
sample	totalkmers	distinct	pkmers	pkcov	pan%									
C1009_straingst	799458131	41843875	84093	65.253	68.638									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_14EC033.fa.gz	45189	45143	84093	0.957	83.946	79.527	0.661	0.957	0.489	33.324	45.37	0.283	0.58
1	Esch_coli_NCTC9087.fa.gz	45206	16241	40885	0.89	45.07	39.695	0.35	0.89	0.769	13.607	8.151	0.19	0.247
2	Esch_coli_442_2.fa.gz	47236	10538	26427	0.675	49.848	32.604	0.293	0.675	0.94	21.707	4.436	0.085	0.09
sample	totalkmers	distinct	pkmers	pkcov	pan%									
